ID "Comune" "Store Name"
76 "Trasaghis" "Little di Trasaghis"
77 "Pecorara" "O scian di Pecorara"
78 "Ponte dell'Olio" "Wallmars di Ponte dell'Olio"
79 "Rivergaro" "Copp di Rivergaro"
80 "Villanova sull'Arda" "Megamercato di Villanova sull'Arda"
81 "Valmozzola" "Ikao di Valmozzola"
82 "Reggiolo" "Super di Reggiolo"
83 "Fanano" "Cartfull di Fanano"
84 "Dovadola" "Zetabreve di Dovadola"
85 "Monte Porzio" "Generali Alimentari di Monte Porzio"
86 "Piobbico" "Megamercato di Piobbico"
87 "Osimo" "Ubersmart di Osimo"
88 "Senigallia" "Little di Senigallia"
89 "Serra de' Conti" "Generali Alimentari di Serra de' Conti"
90 "San Benedetto del Tronto" "Zetabreve di San Benedetto del Tronto"
91 "Villa Collemandina" "Ubersmart di Villa Collemandina"
92 "Vaglia" "Megamercato di Vaglia"
93 "Santa Luce" "Ubersmart di Santa Luce"
94 "Murlo" "Copp di Murlo"
95 "Montone" "Ubersmart di Montone"
96 "Valtopina" "Generali Alimentari di Valtopina"
97 "Alviano" "Ikao di Alviano"
98 "Penna in Teverina" "Ubersmart di Penna in Teverina"
99 "Canino" "Ikao di Canino"
100 "Villa San Giovanni in Tuscia" "Generali Alimentari di Villa San Giovanni in Tuscia"
101 "Cantalice" "Generali Alimentari di Cantalice"
102 "Castel Sant'Angelo" "Little di Castel Sant'Angelo"
103 "Anticoli Corrado" "Zetabreve di Anticoli Corrado"
104 "Castelnuovo di Porto" "Super di Castelnuovo di Porto"
105 "Cerveteri" "Ikao di Cerveteri"
106 "Cineto Romano" "O scian di Cineto Romano"
107 "Manziana" "Copp di Manziana"
108 "Mentana" "Ikao di Mentana"
109 "Sambuci" "Ubersmart di Sambuci"
110 "Collepardo" "Copp di Collepardo"
111 "Roccasecca" "Little di Roccasecca"
112 "Veroli" "O scian di Veroli"
113 "Liberi" "O scian di Liberi"
114 "Sant'Angelo d'Alife" "Copp di Sant'Angelo d'Alife"
115 "Cusano Mutri" "O scian di Cusano Mutri"
116 "Foglianise" "Ikao di Foglianise"
117 "Procida" "Cartfull di Procida"
118 "Caposele" "Ubersmart di Caposele"
119 "Torrioni" "Ubersmart di Torrioni"
120 "Altavilla Silentina" "Ikao di Altavilla Silentina"
121 "Magliano Vetere" "Little di Magliano Vetere"
122 "Pollica" "Copp di Pollica"
123 "Capistrello" "Little di Capistrello"
124 "Prata d'Ansidonia" "Megamercato di Prata d'Ansidonia"
125 "San Benedetto dei Marsi" "Megamercato di San Benedetto dei Marsi"
126 "Castel Frentano" "Super di Castel Frentano"
127 "Limosano" "Cartfull di Limosano"
128 "Salcito" "Ikao di Salcito"
129 "Termoli" "Cartfull di Termoli"
130 "Accadia" "Zetabreve di Accadia"
131 "Ascoli Satriano" "Generali Alimentari di Ascoli Satriano"
132 "Sant'Agata di Puglia" "Copp di Sant'Agata di Puglia"
133 "Vieste" "Eurostore di Vieste"
134 "Corigliano d'Otranto" "Super di Corigliano d'Otranto"
135 "Giuggianello" "Eurostore di Giuggianello"
136 "Nardò" "Super di Nardò"
137 "Sogliano Cavour" "Zetabreve di Sogliano Cavour"
138 "Latronico" "Ikao di Latronico"
139 "Missanello" "Ikao di Missanello"
140 "Vaglio Basilicata" "Megamercato di Vaglio Basilicata"
141 "Bocchigliero" "Zetabreve di Bocchigliero"
142 "Domanico" "Cartfull di Domanico"
143 "Malvito" "Little di Malvito"
144 "Marzi" "Eurostore di Marzi"
145 "San Sosti" "Ikao di San Sosti"
146 "Santo Stefano di Rogliano" "Super di Santo Stefano di Rogliano"
147 "Taverna" "Zetabreve di Taverna"
148 "Africo" "Generali Alimentari di Africo"
149 "Gioiosa Ionica" "Cartfull di Gioiosa Ionica"
150 "Marina di Gioiosa Ionica" "Zetabreve di Marina di Gioiosa Ionica"
151 "San Pietro di Caridà" "Copp di San Pietro di Caridà"
152 "Campobello di Mazara" "Copp di Campobello di Mazara"
153 "Partanna" "Little di Partanna"
154 "Pollina" "Little di Pollina"
155 "Prizzi" "Copp di Prizzi"
156 "Furnari" "Ikao di Furnari"
157 "Librizzi" "Ubersmart di Librizzi"
158 "Siculiana" "Zetabreve di Siculiana"
159 "Sommatino" "Megamercato di Sommatino"
160 "Acate" "Megamercato di Acate"
161 "Comiso" "Super di Comiso"
162 "Bortigiadas" "Wallmars di Bortigiadas"
163 "Sorso" "Zetabreve di Sorso"
164 "Nuoro" "Megamercato di Nuoro"
165 "Orosei" "O scian di Orosei"
166 "Acquaviva d'Isernia" "Little di Acquaviva d'Isernia"
167 "Roccasicura" "Eurostore di Roccasicura"
168 "Laconi" "Super di Laconi"
169 "Coggiola" "Little di Coggiola"
170 "Tavigliano" "Ikao di Tavigliano"
171 "Lomagna" "Zetabreve di Lomagna"
172 "Perledo" "Eurostore di Perledo"
173 "Comazzo" "Ubersmart di Comazzo"
174 "Somaglia" "Ubersmart di Somaglia"
175 "Coriano" "Cartfull di Coriano"
176 "Verucchio" "Copp di Verucchio"
177 "Francavilla Angitola" "Ikao di Francavilla Angitola"
178 "Omegna" "Ubersmart di Omegna"
179 "Borgomezzavalle" "Megamercato di Borgomezzavalle"
180 "Minervino Murge" "Ubersmart di Minervino Murge"
181 "Domus de Maria" "Ikao di Domus de Maria"
182 "Esterzili" "Megamercato di Esterzili"
183 "Giba" "Ikao di Giba"
184 "Perdaxius" "Wallmars di Perdaxius"
61 "Parcines" "Copp di Parcines"
62 "Trodena nel parco naturale" "O scian di Trodena nel parco naturale"
63 "Arco" "Wallmars di Arco"
64 "Tesero" "Cartfull di Tesero"
65 "Dolcè" "Wallmars di Dolcè"
66 "Roveredo di Guà" "O scian di Roveredo di Guà"
67 "San Zeno di Montagna" "O scian di San Zeno di Montagna"
68 "Montorso Vicentino" "Copp di Montorso Vicentino"
69 "Sospirolo" "Super di Sospirolo"
70 "Trichiana" "Zetabreve di Trichiana"
71 "Cervarese Santa Croce" "Eurostore di Cervarese Santa Croce"
72 "Galliera Veneta" "Super di Galliera Veneta"
73 "Santa Giustina in Colle" "Ikao di Santa Giustina in Colle"
74 "Gonars" "Eurostore di Gonars"
75 "Povoletto" "Cartfull di Povoletto"
76 "Trasaghis" "Little di Trasaghis"
77 "Pecorara" "O scian di Pecorara"
78 "Ponte dell'Olio" "Wallmars di Ponte dell'Olio"
79 "Rivergaro" "Copp di Rivergaro"
80 "Villanova sull'Arda" "Megamercato di Villanova sull'Arda"
81 "Valmozzola" "Ikao di Valmozzola"
82 "Reggiolo" "Super di Reggiolo"
83 "Fanano" "Cartfull di Fanano"
84 "Dovadola" "Zetabreve di Dovadola"
85 "Monte Porzio" "Generali Alimentari di Monte Porzio"
86 "Piobbico" "Megamercato di Piobbico"
87 "Osimo" "Ubersmart di Osimo"
88 "Senigallia" "Little di Senigallia"
89 "Serra de' Conti" "Generali Alimentari di Serra de' Conti"
90 "San Benedetto del Tronto" "Zetabreve di San Benedetto del Tronto"
91 "Villa Collemandina" "Ubersmart di Villa Collemandina"
92 "Vaglia" "Megamercato di Vaglia"
93 "Santa Luce" "Ubersmart di Santa Luce"
94 "Murlo" "Copp di Murlo"
95 "Montone" "Ubersmart di Montone"
96 "Valtopina" "Generali Alimentari di Valtopina"
97 "Alviano" "Ikao di Alviano"
98 "Penna in Teverina" "Ubersmart di Penna in Teverina"
99 "Canino" "Ikao di Canino"
100 "Villa San Giovanni in Tuscia" "Generali Alimentari di Villa San Giovanni in Tuscia"
101 "Cantalice" "Generali Alimentari di Cantalice"
102 "Castel Sant'Angelo" "Little di Castel Sant'Angelo"
103 "Anticoli Corrado" "Zetabreve di Anticoli Corrado"
104 "Castelnuovo di Porto" "Super di Castelnuovo di Porto"
105 "Cerveteri" "Ikao di Cerveteri"
106 "Cineto Romano" "O scian di Cineto Romano"
107 "Manziana" "Copp di Manziana"
108 "Mentana" "Ikao di Mentana"
109 "Sambuci" "Ubersmart di Sambuci"
110 "Collepardo" "Copp di Collepardo"
111 "Roccasecca" "Little di Roccasecca"
112 "Veroli" "O scian di Veroli"
113 "Liberi" "O scian di Liberi"
114 "Sant'Angelo d'Alife" "Copp di Sant'Angelo d'Alife"
115 "Cusano Mutri" "O scian di Cusano Mutri"
116 "Foglianise" "Ikao di Foglianise"
117 "Procida" "Cartfull di Procida"
118 "Caposele" "Ubersmart di Caposele"
119 "Torrioni" "Ubersmart di Torrioni"
120 "Altavilla Silentina" "Ikao di Altavilla Silentina"
121 "Magliano Vetere" "Little di Magliano Vetere"
122 "Pollica" "Copp di Pollica"
123 "Capistrello" "Little di Capistrello"
124 "Prata d'Ansidonia" "Megamercato di Prata d'Ansidonia"
125 "San Benedetto dei Marsi" "Megamercato di San Benedetto dei Marsi"
126 "Castel Frentano" "Super di Castel Frentano"
127 "Limosano" "Cartfull di Limosano"
128 "Salcito" "Ikao di Salcito"
129 "Termoli" "Cartfull di Termoli"
130 "Accadia" "Zetabreve di Accadia"
131 "Ascoli Satriano" "Generali Alimentari di Ascoli Satriano"
132 "Sant'Agata di Puglia" "Copp di Sant'Agata di Puglia"
133 "Vieste" "Eurostore di Vieste"
134 "Corigliano d'Otranto" "Super di Corigliano d'Otranto"
135 "Giuggianello" "Eurostore di Giuggianello"
136 "Nardò" "Super di Nardò"
137 "Sogliano Cavour" "Zetabreve di Sogliano Cavour"
138 "Latronico" "Ikao di Latronico"
139 "Missanello" "Ikao di Missanello"
140 "Vaglio Basilicata" "Megamercato di Vaglio Basilicata"
141 "Bocchigliero" "Zetabreve di Bocchigliero"
142 "Domanico" "Cartfull di Domanico"
143 "Malvito" "Little di Malvito"
144 "Marzi" "Eurostore di Marzi"
145 "San Sosti" "Ikao di San Sosti"
146 "Santo Stefano di Rogliano" "Super di Santo Stefano di Rogliano"
147 "Taverna" "Zetabreve di Taverna"
148 "Africo" "Generali Alimentari di Africo"
149 "Gioiosa Ionica" "Cartfull di Gioiosa Ionica"
150 "Marina di Gioiosa Ionica" "Zetabreve di Marina di Gioiosa Ionica"
151 "San Pietro di Caridà" "Copp di San Pietro di Caridà"
152 "Campobello di Mazara" "Copp di Campobello di Mazara"
153 "Partanna" "Little di Partanna"
154 "Pollina" "Little di Pollina"
155 "Prizzi" "Copp di Prizzi"
156 "Furnari" "Ikao di Furnari"
157 "Librizzi" "Ubersmart di Librizzi"
158 "Siculiana" "Zetabreve di Siculiana"
159 "Sommatino" "Megamercato di Sommatino"
160 "Acate" "Megamercato di Acate"
161 "Comiso" "Super di Comiso"
162 "Bortigiadas" "Wallmars di Bortigiadas"
163 "Sorso" "Zetabreve di Sorso"
164 "Nuoro" "Megamercato di Nuoro"
165 "Orosei" "O scian di Orosei"
166 "Acquaviva d'Isernia" "Little di Acquaviva d'Isernia"
167 "Roccasicura" "Eurostore di Roccasicura"
168 "Laconi" "Super di Laconi"
169 "Coggiola" "Little di Coggiola"
170 "Tavigliano" "Ikao di Tavigliano"
171 "Lomagna" "Zetabreve di Lomagna"
172 "Perledo" "Eurostore di Perledo"
173 "Comazzo" "Ubersmart di Comazzo"
174 "Somaglia" "Ubersmart di Somaglia"
175 "Coriano" "Cartfull di Coriano"
176 "Verucchio" "Copp di Verucchio"
177 "Francavilla Angitola" "Ikao di Francavilla Angitola"
178 "Omegna" "Ubersmart di Omegna"
179 "Borgomezzavalle" "Megamercato di Borgomezzavalle"
180 "Minervino Murge" "Ubersmart di Minervino Murge"
181 "Domus de Maria" "Ikao di Domus de Maria"
182 "Esterzili" "Megamercato di Esterzili"
183 "Giba" "Ikao di Giba"
184 "Perdaxius" "Wallmars di Perdaxius"
